cytoband	19p13.3	22q13.32	11p15.5	6q27	5q11.2	1p36.11	7p22.3	13q14.2	4q34.3	15q15.1	10q23.31	17q11.2	18q23	5q13.2	2q22.1	16q23.1	2q37.3	19q13.43	9q34.3	Xp21.1	4q22.1	8p21.2	14q23.3	16p13.3	3p26.2	12q23.1	8p23.3	12q24.33	21q22.3	11q25	19q13.32	10p15.3	3p21.1	2p25.3	10q26.3	1p36.32	5q14.3	1q32.3	9p24.3	6q21	6p25.3	1p31.1	3q13.31	
q value	3.0722e-178	1.1275e-59	2.2462e-33	9.5236e-38	5.4072e-74	9.3501e-51	1.1376e-31	1.6962e-30	8.9767e-34	1.6879e-26	8.7797e-18	1.0889e-15	1.5279e-15	1.0481e-83	1.9245e-16	9.731e-12	5.4107e-18	6.9592e-17	1.1822e-08	2.8448e-08	1.007e-11	7.2327e-11	7.1483e-07	8.0529e-07	2.4355e-08	1.5955e-09	1.6261e-09	8.4033e-10	0.00015888	0.00092451	4.8883e-12	0.0015427	4.0951e-05	0.0021447	2.6365e-05	8.8507e-28	1.1613e-46	0.019568	0.026882	9.4117e-06	0.099272	0.000255	0.20104	
residual q value	3.0722e-178	1.1275e-59	2.2462e-33	5.4515e-33	3.4323e-32	4.4876e-32	1.1376e-31	1.6825e-30	7.3153e-28	1.6812e-26	1.0165e-15	1.1173e-15	1.5279e-15	3.0044e-15	1.8547e-12	9.5477e-12	2.3866e-11	2.4262e-09	1.2047e-08	2.8151e-08	1.1901e-07	3.2547e-07	7.1483e-07	8.0529e-07	1.1918e-06	3.799e-06	2.5875e-05	9.2767e-05	0.00015889	0.00092019	0.00092019	0.0015386	0.0019235	0.0021447	0.0044723	0.0099849	0.016222	0.019568	0.027244	0.093833	0.099078	0.11592	0.19976	
wide peak boundaries	chr19:1272041-1867911	chr22:48026910-51304566	chr11:502218-748945	chr6:167548608-171115067	chr5:58145167-59787985	chr1:26900639-27570286	chr7:1-919666	chr13:48875329-49064807	chr4:178911874-183060693	chr15:41832910-42068054	chr10:89617158-90034038	chr17:29326736-29722618	chr18:68317985-78077248	chr5:66492413-75382249	chr2:139655617-143637838	chr16:78064108-79627770	chr2:238815253-243199373	chr19:58421989-59128983	chr9:133708362-139646221	chrX:30870233-34644819	chr4:90844993-93240505	chr8:25896447-26250295	chr14:62262526-67937891	chr16:3764793-4013466	chr3:1-4403275	chr12:99124001-100431272	chr8:1-6262191	chr12:131692956-133851895	chr21:42827479-48129895	chr11:126875846-135006516	chr19:46376619-49318238	chr10:1-855106	chr3:52004318-55544348	chr2:1-22759563	chr10:134560812-135534747	chr1:1-9602372	chr5:72878760-112213786	chr1:207316102-220046617	chr9:1-2018113	chr6:91295560-121400980	chr6:1-2624052	chr1:68562848-113052185	chr3:116161663-118620828	
genes in wide peak	EFNA2	ACR	DRD4	GPR31	hsa-mir-582	SFN	PDGFA	RB1	LINC00290	TYRO3	PTEN	EVI2A	CYB5A	BTF3	LRP1B	WWOX	hsa-mir-3133	A1BG	ABL1	hsa-mir-548f-5	CCSER1	PPP2R2A	hsa-mir-625	CREBBP	IL5RA	ANKS1B	CLN8	GOLGA3	ADARB1	APLP2	hsa-mir-220c	ZMYND11	ACY1	hsa-mir-548s	ADAM8	hsa-mir-551a	hsa-mir-548f-3	ATF3	hsa-mir-1302-9	hsa-mir-3144	FOXF2	ABCA4	TUSC7	
	GAMT	ARSA	HRAS	KIF25	PDE4D	SLC9A1	PRKAR1B	LPAR6		MGA	KLLN	EVI2B	GALR1	CCNB1			AGXT	RPS5	ABO	DMD			hsa-mir-548h-1		SETMAR	FAM71C	MYOM2	MMP17	AIRE	ETS1	BCAT2	DIP2C	ALAS1	ACP1	CYP2E1	hsa-mir-1302-2	hsa-mir-548p	CD34	DMRT1	hsa-mir-587	FOXC1	ACADM		
	RPS15	CHKB	IRF7	MLLT4	PART1	ARID1A	SUN1			MIR626		NF1	MBP	CDK7			KIF1A	ZNF8	CEL	FTHL17			EIF2S1		CHL1	RP11-406H4.1	DLGAP2	POLE	PTTG1IP	FLI1	C5AR1	TUBB8	CACNA1D	APOB	ECHS1	RERE	APC	CENPF	FOXD4	hsa-mir-2113	GMDS	ADORA3		
	TCF3	CPT1B	SCT	PDCD2		NR0B2	HEATR2					OMG	NFATC1	FOXD1			BOK	MZF1	CELP	FAM47A			ESR2		CNTN6		ARHGEF10	PXMP2	C21orf2	KCNJ1	CA11	PRR26	DUSP7	RHOB	UTF1	CA6	ARSB	CR1	DMRT2	AIM1	IRF4	AGL		
	APC2	TYMP	RASSF7	PSMB1		NUDC	FAM20C					MIR4733	ZNF236	GTF2H2			DTYMK	ZNF132	COL5A1				FNTB		TRNT1		KBTBD11	SFSWAP	CBS	KCNJ5	CALM3	MIR5699	ITIH1	DDX1	TUBGCP2	CDK11B	BHMT	CR1L	KANK1	AMD1	EXOC2	ALX3		
	UQCR11	MAPK11	DEAF1	TBP		GPN2	FLJ44511						CTDP1	HEXB			GPC1	ZNF135	DBH				FUT8		CRBN		FBXO25	ZNF10	COL6A1	NFRKB	AP2S1		ITIH3	E2F6	DUX4	DFFB	CAMK4	CR2	CBWD1	PRDM1	DUSP22	AMPD2		
	DAZAP1	MAPK12	CDHR5	TCP10		PIGV	AC226118.1						ZNF516	HMGCR			GPR35	UBE2M	SARDH				GPX2		LRRN1		CSMD1	ZNF26	COL6A2	OPCML	CRX		ITIH4	HPCAL1	DUX2	DVL1	CAST	CD55	DMRT3	CCNC	FOXQ1	AMY1A		
