cytoband	9p21.3	10q23.31	11q24.3	4q34.3	1p36.31	1p22.1	6q26	15q21.1	2q37.3	16q24.3	5q11.2	19p13.3	3q13.31	16p13.3	5q31.3	15q13.3	2q37.2	13q34	15q14	4p16.3	14q32.31	5p15.31	10p15.3	16q12.1	9p23	5q34	22q12.1	1q42.12	12q12	12q23.3	Xp21.1	10q21.1	3p26.1	12q24.33	7q21.11	17q21.31	14q23.3	10q26.3	11q13.1	2p25.2	4q25	8p23.3	3q26.31	18q23	19q13.43	17p13.3	9q21.11	
q value	3.7625e-257	9.5459e-35	4.9531e-26	9.7682e-24	8.4439e-16	3.558e-13	9.1109e-11	1.2102e-21	1.0621e-17	6.8185e-09	2.5301e-08	4.423e-06	7.0932e-06	9.6674e-05	1.0821e-10	9.1605e-18	1.1707e-10	0.0013203	1.0858e-22	0.0057122	0.001339	0.0069372	0.0087992	0.0010396	2.141e-09	3.6866e-07	0.020024	0.038146	0.011432	0.0095086	0.062876	0.030873	0.069061	0.007687	0.092618	0.09547	0.035684	0.010157	0.0044508	0.12686	0.0085729	0.16341	0.11078	0.18368	0.18482	0.22028	0.00080463	
residual q value	4.048e-252	2.0775e-33	9.105e-25	1.5364e-22	1.7073e-13	4.3948e-12	9.1109e-11	5.2298e-10	1.2879e-09	1.1011e-07	6.1492e-07	4.4444e-06	2.2525e-05	9.4223e-05	0.00025626	0.00029128	0.00039859	0.0013454	0.0042389	0.0057122	0.0057122	0.0069815	0.0089475	0.0092688	0.01748	0.018646	0.020024	0.037762	0.043965	0.059529	0.061759	0.06615	0.069942	0.080844	0.093159	0.093159	0.095875	0.12262	0.12262	0.12764	0.13188	0.16687	0.16951	0.17974	0.18482	0.22406	0.24183	
wide peak boundaries	chr9:21959052-21997722	chr10:89617158-90034038	chr11:126875846-129248060	chr4:178911874-183060693	chr1:4841981-6475685	chr1:89300170-97191248	chr6:161693099-163153207	chr15:44964334-45036916	chr2:240226482-242045630	chr16:83829806-90354753	chr5:58260298-59787985	chr19:807593-1357301	chr3:116161663-118620828	chr16:5650599-7764197	chr5:137070446-152871232	chr15:33023460-33443919	chr2:235961580-237079324	chr13:108515910-115169878	chr15:36149095-44070690	chr4:3533067-3675814	chr14:78397628-107349540	chr5:1-21755950	chr10:1-855106	chr16:31772318-56680356	chr9:7799607-10619051	chr5:147760277-178982415	chr22:27304934-30405982	chr1:210847515-236681580	chr12:33046522-55342368	chr12:86945362-111891643	chrX:30870233-32661893	chr10:52644085-54061437	chr3:1-23379723	chr12:133011559-133851895	chr7:77586374-79085357	chr17:41338649-45288788	chr14:66963153-67658112	chr10:134944852-135093385	chr11:58805944-66030000	chr2:1-30456081	chr4:109084835-109543418	chr8:1-6262191	chr3:173999806-194022760	chr18:68317985-78077248	chr19:55152789-59128983	chr17:1-1826620	chr9:30405214-109363729	
genes in wide peak	CDKN2A	PTEN	ETS1	LINC00290	RPL22	ABCA4	PARK2	B2M	AGXT	AFG3L1P	hsa-mir-582	ATP5D	TUSC7	RBFOX1	hsa-mir-378	FMN1	GBX2	ATP4B	BUB1B	LINC00955	hsa-mir-544	hsa-mir-887	ZMYND11	hsa-mir-3181	PTPRD	hsa-mir-1271	AP1B1	hsa-mir-664	ASIC1	hsa-mir-619	hsa-mir-548f-5	PRKG1	hsa-mir-3135	GOLGA3	MAGI2	ARL4D	GPHN	ADAM8	ARL2	hsa-mir-548s	RPL34-AS1	CLN8	hsa-mir-28	CYB5A	hsa-mir-1274b	ABR	hsa-mir-1302-8	
	C9orf53	KLLN	FLI1		KCNAB2	BRDT			KIF1A	APRT	PDE4D	AZU1		MIR8065	hsa-mir-584		AGAP1	COL4A1	CAPN3		hsa-mir-370	ADCY2	DIP2C	hsa-mir-1826		hsa-mir-1303	EWSR1	ACTA1	ACVR1B	ACACB	DMD	CSTF2T	hsa-mir-3134	POLE	RPL13AP17	FMNL1		UTF1	BAD	ACP1	LEF1-AS1	MYOM2	ACTL6A	GALR1	A1BG	CRK	hsa-mir-1299	
			KCNJ1		ACOT7	CNN3			GPC1	C16orf3	PART1	CIRBP			ADRB2			COL4A2	CKMT1B		hsa-mir-342	CDH18	TUBB8	ADCY7		hsa-mir-1294	MN1	PARP1	ACVRL1	APAF1	FTHL17	MIR605	hsa-mir-378b	PXMP2	MIR548AU	CDC27		VENTX	VPS51	ADCY3		DLGAP2	AHSG	MBP	FCAR	MYO1C	ABCA1	
			KCNJ5		ICMT	DR1			GPR35	CA5A		CNN2			ANXA6			F7	EPB42		SERPINA3	CTNND2	PRR26	AMFR		hsa-mir-378	NEFH	AGT	ADCY6	ARL1			ATP2B2	ZNF10	MAGI2-AS2	CRHR1		KNDC1	MRPL49	ALK		ARHGEF10	BCL6	NFATC1	FKBP1AP1	SERPINF1	ACO1	
			ARHGAP32		CHD5	F3			NDUFA10	CBFA2T3		CFD			ATOX1			F10	GANC		AKT1	DAP	MIR5699	BBS2		hsa-mir-584	NF2	ARF1	ABCD2	ASCL1			BTD	ZNF26		DHX8		MIR202	ZNHIT2	APOB		KBTBD11	AP2M1	ZNF236	IL11	PITPNA	ALDH1A1	
			TP53AIP1		LINC00337	GBP1			CAPN10	CDH15		ARID3A			CAMK2A			GAS6	GCHFR		BDKRB1	DNAH5		CBLN1		ADRA1B	RFPL1	ATF3	AMHR2	ATP2A2			CAV3	ZNF84		DUSP3		MIR202HG	MYRF	RHOB		FBXO25	CLCN2	CTDP1	KIR2DL1	SERPINF2	ALDH1B1	
			C11orf45		NPHP4	GBP2			SNED1	COX4I1		EFNA2			CD14			ING1	PDIA3		BDKRB2	MTRR		CES1		ADRB2	XBP1	CAPN2	AQP2	ATP2B1			DAZL	ZNF140		ETV4			TMEM258	CAD		CSMD1	CRYGS	ZNF516	KIR2DL3	RPA1	ALDOB	
			SENCR		GPR153	GBP3			ANKMY1	CYBA		ELANE			CD74			LAMP1	ITPKA		CALM1	MYO10		CYLD		ANXA6	NIPSNAP1	CENPF	AQP5	BTG1			FANCD2	ZNF268		FZD2			DAGLA	CENPA		FAM87A	DGKG	TSHZ1	KIR2DL4	YWHAE	ANXA1	
			MIR6090		RNF207	GFI1			RNPEPL1	DPEP1		GPX4			CDC25C			LIG4	IVD		SERPINA6	NDUFS6		GNAO1		ATOX1	THOC5	LYST	AQP6	CMKLR1			FBLN2	P2RX2		GFAP			CAPN1	DDX1		TDRP	DVL3	TXNL4A	KIR2DS4	DOC2B	ANXA2P2	
					HES3	GCLM			C2orf54	FANCA		POLR2E			CDX1			GRK1	LTK		FOXN3	SDHA		MMP2		BNIP1	RASL10A	EPHX1	ARF3	CRY1			GRM7	ANKLE2		GRN			CD5	DNMT3A		ERICH1	EHHADH	ADNP2	KIR3DL1	SCARF1	NUDT2	
					MIR4689	GTF2B			MTERFD2	FOXF1		PRTN3			CSF1R			SOX1	MAP1A		CHGA	SLC6A3		MT1A		CAMK2A	GAS2L1	EPRS	ATF1	DAO			HRH1	CHFR		ITGA2B			CD6	DTNB		ZNF596	EIF4A2	KCNG2	KIR3DL2	RPH3AL	APBA1	
					MIR4417	ABCD3			OTOS	FOXL1		STK11			CSNK1A1			TFDP1	MEIS2		CKB	SLC9A3		MT1E		CCNG1	RFPL1S	ESRRG	ATP5G2	DCN			IL5RA	FBRSL1		MAPT			MS4A1	E2F6		LOC286083	EIF4G1	SALL3	PEG3	PRPF8	AQP3	
						SNORD21			MYEOV2	FOXC2		MED16			CTNNA1			CUL4A	PLCB2		CRIP1	SRD5A1		MT1JP		CD74	CHEK2	GALNT2	CACNB3	EPYC			IRAK2	PGAM5		ADAM11			MS4A3	FKBP1B		OR4F21	EPHB3	TIMM21	PTPRH	TIMM22	AQP7	
						RPL5			OR6B3	GALNS		ABCA7			DIAPH1			IRS2	RAD51		CRIP2	TERT		MT1M		CDX1	TTC28	GNG4	CCNT1	DUSP6			ITPR1	ANHX		MEOX1			CFL1	FOSL2		ERICH1-AS1	ETV5	ZNF407	RPL28	GEMIN4	AUH	
						TGFBR3			LOC150935	GAS8		SBNO2			DPYSL3			PROZ	SPINT1		DIO2	TRIO		MT1L		CLTB	PITPNB	GUK1	CNTN1	ELK3			OGG1	ZNF605		MPP2			CHRM1	FTH1P3		RPL23AP53	FGF12	CNDP2	RPS5	GLOD4	BAAT	
						EVI5			LOC200772	HSBP1		HMHA1			SLC26A2			ARHGEF7	SRP14		DIO3	SEMA5A		MT2A		CSF1R	C22orf31	H3F3A	COL2A1	HAL			OXTR	LRCOL1		MPP3			COX8A	GCKR		MIR596	HRG	RBFA	AURKC	INPP5K	BAG1	
						CDC7			DUSP28	IRF8		C19orf24			HBEGF			CDC16	THBS1		DYNC1H1	TRIP13		MT3		CSNK1A1	RHBDD3	HLX	EIF4B	IGF1			PPARG	ZNF891		NMT1			CST6	GTF3C2		RP11-666I19.2	HES1	PQLC1	SYT5	RNMTL1	KLF9	
