cytoband	6p22.1	1q21.2	11q13.3	12q15	22q13.2	3p13	8q24.21	17q25.1	12q14.1	7q34	14q11.2	15q25.1	5p15.33	15q26.3	11q12.3	7p21.3	5q31.3	1q44	19q13.43	12p13.31	Xq28	22q11.21	1p36.22	16p11.2	Xp22.2	1p12	20q13.33	
q value	1.1443e-09	1.5804e-09	5.8987e-08	3.4676e-09	9.3919e-08	1.499e-05	0.00019844	0.00023178	4.0596e-08	0.0027541	0.003119	2.1167e-05	0.0045781	2.6207e-06	0.0095235	0.012244	0.012456	0.0036559	0.022061	0.031723	0.042308	0.00044437	0.06671	0.092188	0.18106	0.017605	0.22184	
residual q value	1.1443e-09	3.672e-09	5.8987e-08	1.327e-06	2.0026e-06	1.499e-05	0.00019844	0.00023178	0.00075029	0.0027541	0.003119	0.0042312	0.0045781	0.0057065	0.0095235	0.012244	0.012456	0.020198	0.022061	0.031723	0.042308	0.061114	0.079365	0.092188	0.18106	0.18524	0.22184	
wide peak boundaries	chr6:27424603-27889222	chr1:149755861-149871854	chr11:69063478-69496749	chr12:69149254-69326759	chr22:41272557-41791971	chr3:69352668-71020030	chr8:128419786-128982850	chr17:66236726-80450722	chr12:57923125-58350630	chr7:128399868-141681723	chr14:1-20760272	chr15:78526851-78588116	chr5:481227-1321872	chr15:85045976-102252063	chr11:62300816-62652972	chr7:5535707-10977629	chr5:140167221-140856543	chr1:240331376-249250621	chr19:57755909-59128983	chr12:6231882-7102453	chrX:152603388-155270560	chr22:1-21970669	chr1:1-45933256	chr16:28734798-31342549	chrX:13645323-16845305	chr1:108679235-145282092	chr20:58462000-63025520	
genes in wide peak	HIST1H1B	FCGR1A	CCND1	CPM	EP300	MITF	MYC	AANAT	CDK4	hsa-mir-96	OR4K5	ACSBG1	SLC9A3	hsa-mir-3174	EEF1G	ACTB	PCDHGC3	ADSS	hsa-mir-1274b	CD4	ABCD1	hsa-mir-649	hsa-mir-552	ALDOA	BMX	hsa-mir-3118-3	hsa-mir-941-3	
	ZNF184	HIST2H2AA3	MYEOV	MDM2	RANGAP1	FRMD4B	POU5F1B	ACOX1	CYP27B1	AKR1B1	OR11H2	DNAJA4	TERT	ACAN	GNG3	ICA1	TAF7	CHML	A1BG	CD9	ARHGAP4	ARVCF	hsa-mir-1256	ATP2A1	S100G	hsa-mir-3118-2	hsa-mir-3195	
	HIST1H2AI	HIST2H2AC	ORAOV1	SLC35E3	TEF	FOXP1	PVT1	ACTG1	B4GALNT1	OPN1SW	OR4K1	WDR61	TRIP13	ALDH1A3	POLR2G	NDUFA4	PCDHGB4	FH	FKBP1AP1	CD27	ATP2B3	ATP6V1E1	hsa-mir-1290	CD19	FANCB	hsa-mir-3118-1	hsa-mir-646	
	HIST1H2AK	HIST2H2BE		LOC100130075	RBX1	LINC01212	TMEM75	BIRC5	KIF5A	BPGM	OR4K15		SLC12A7	ANPEP	ROM1	PMS2	PCDHGA8	HNRNPU	RPS5	CHD4	ATP6AP1	BID	hsa-mir-1273d	CTF1	FIGF	ADORA3	CDH4	
	HIST1H2AJ	HIST2H4A			ZC3H7B		CASC8	ARHGDIA	METTL1	BRAF	TTC5		TPPP	BLM	SLC3A2	RAC1	PCDHA9	RGS7	ZNF8	ATN1	AVPR2	COMT	hsa-mir-551a	SEPT1	GLRA2	ALX3	CHRNA4	
	HIST1H2AL	BOLA1			XPNPEP3		MIR1205	CD7	TSPAN31	CALD1	OR4K14		CEP72	CHD2	STX5	RPA3	PCDHGA12	ZNF124	ZNF17	ENO2	BGN	CRKL	hsa-mir-1302-2	FUS	GPM6B	AMPD1	COL9A3	
	HIST1H2AM	HIST2H2AB			L3MBTL2		MIR1204	CDK3	TSFM	CALU	OR4L1		BRD9	FES	MTA2	FSCN1	PCDHB5	KMO	MZF1	GAPDH	CLIC2	GGT3P	AK2	ITGAL	GRPR	AMPD2	EEF1A2	
	HIST1H2BL	HIST2H3A			CHADL			CSNK1D	CTDSP2	CHRM2	OR11H6		ZDHHC11	IDH2	SNORD29	ZNF12	PCDHB1	EXO1	ZNF132	GNB3	TEX28	GP1BB	ALPL	ITGAM	PIGA	RHOC	NPBWR2	
	HIST1H2BN	HIST2H2BC			MIR1281			SLC25A10	DCTN2	CPA1	OR4N2		CLPTM1L	IGF1R	SNORD31	AIMP2	PCDHB18	CEP170	ZNF134	LAG3	DKC1	GSC2	RERE	KIF22	TRAPPC2	ATP1A1	KCNQ2	
	HIST1H2BM	HIST2H2BF			LOC101927279			EVPL	AVIL	CPA2	OR4K2		NKD2	ISG20	SNORD30	CYTH3	PCDHB17	AKT3	ZNF135	LTBR	DNASE1L1	SERPIND1	ATP6V0B	MAZ	ZRSR2	ATP5F1	LAMA5	
	HIST1H2BO	HIST2H3D			MIR6889			FASN	OS9	FLNC	OR4K13		SLC6A19	MAN2A2	SNORD28	KDELR2	PCDHGB7	ZBTB18	ZNF154	NOP2	DUSP9	PI4KA	BAI2	PHKG2	OFD1	CAPZA1	MYT1	
	HIST1H3I							FDXR	METTL21B	IRF5	OR4K17		SLC6A18	MEF2A	SNORD27	EIF2AK1	PCDHGB6	SDCCAG8	UBE2M	PTMS	EMD	SEPT5	BMP8B	PPP4C	PIR	CASQ2	NTSR1	
	HIST1H3J							FOXJ1	SLC26A10	MEST	OR4N5		LOC100506688	MFGE8	SNORD26	NXPH1	PCDHGB5	OPN3	TRIM28	PTPN6	F8	PRODH	C1QA	MAPK3	INE2	CD2	OPRL1	
