Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	P-0000012-T03-IM3	P-0000082-T01-IM3	P-0000208-T01-IM3	P-0000235-T01-IM3	P-0000299-T01-IM3	P-0000302-T02-IM6	P-0000363-T01-IM3	P-0000458-T01-IM3	P-0000563-T01-IM3	P-0000604-T01-IM3	P-0000670-T01-IM3	P-0000681-T02-IM5	P-0000689-T02-IM5	P-0000731-T01-IM3	P-0000826-T01-IM3	P-0000894-T01-IM3	P-0000913-T02-IM5	P-0000978-T02-IM5	P-0001093-T01-IM3	P-0001121-T01-IM3	P-0001171-T01-IM3	P-0001340-T01-IM3	P-0001365-T02-IM3	P-0001385-T01-IM3	P-0001633-T01-IM3	P-0001665-T01-IM3	P-0001830-T01-IM3	P-0001836-T01-IM3	P-0001867-T01-IM3	P-0001955-T01-IM3	P-0001977-T01-IM3	P-0002028-T01-IM3	P-0002151-T01-IM3	P-0002160-T01-IM3	P-0002225-T02-IM5	P-0002247-T01-IM3	P-0002252-T01-IM3	P-0002295-T01-IM3	P-0002320-T01-IM3	P-0002351-T01-IM3	P-0002444-T01-IM3	P-0002485-T01-IM3	P-0002546-T01-IM3	P-0002559-T01-IM3	P-0002637-T01-IM3	P-0002639-T01-IM3	P-0002731-T02-IM5	P-0002751-T01-IM3	P-0002758-T01-IM3	P-0002766-T01-IM3	P-0002794-T02-IM5	P-0002806-T01-IM3	P-0002826-T01-IM3	P-0002874-T01-IM3	P-0002890-T01-IM3	P-0002905-T01-IM3	P-0002912-T01-IM3	P-0002917-T01-IM3	P-0002921-T01-IM3	P-0002965-T01-IM3	P-0002969-T01-IM3	P-0003017-T01-IM3	P-0003034-T01-IM5	P-0003119-T01-IM5	P-0003132-T01-IM5	P-0003157-T01-IM5	P-0003229-T01-IM5	P-0003275-T01-IM5	P-0003322-T01-IM5	P-0003347-T01-IM5	P-0003368-T01-IM5	P-0003495-T01-IM5	P-0003562-T02-IM5	P-0003584-T01-IM5	P-0003735-T01-IM5	P-0003738-T02-IM5	P-0003782-T01-IM5	P-0003869-T01-IM5	P-0003913-T01-IM3	P-0003964-T01-IM3	P-0003970-T02-IM5	P-0004020-T01-IM5	P-0004054-T01-IM5	P-0004232-T01-IM5	P-0004279-T01-IM5	P-0004436-T01-IM5	P-0004442-T01-IM5	P-0004463-T01-IM5	P-0004472-T01-IM5	P-0004495-T01-IM5	P-0004517-T01-IM5	P-0004588-T01-IM5	P-0004701-T01-IM5	P-0004752-T01-IM5	P-0004759-T01-IM5	P-0004827-T01-IM5	P-0004890-T01-IM5	P-0004961-T02-IM5	P-0004996-T02-IM5	P-0005048-T01-IM5	P-0005115-T01-IM5	P-0005289-T01-IM5	P-0005295-T01-IM5	P-0005320-T01-IM5	P-0005510-T01-IM5	P-0005629-T02-IM5	P-0005721-T01-IM5	P-0005752-T01-IM5	P-0005792-T01-IM5	P-0005848-T01-IM5	P-0005898-T01-IM5	P-0005975-T01-IM5	P-0005981-T01-IM5	P-0006047-T02-IM5	P-0006071-T01-IM5	P-0006084-T01-IM5	P-0006114-T02-IM5	P-0006294-T01-IM5	P-0006312-T02-IM5	P-0006330-T01-IM5	P-0006343-T01-IM5	P-0006364-T01-IM5	P-0006415-T01-IM5	P-0006540-T01-IM5	P-0006642-T01-IM5	P-0006724-T01-IM5	P-0006768-T02-IM5	P-0006895-T01-IM5	P-0006954-T01-IM5	P-0006993-T01-IM5	P-0007084-T02-IM5	P-0007088-T02-IM5	P-0007101-T02-IM5	P-0007121-T01-IM5	P-0007123-T01-IM5	P-0007278-T01-IM5	P-0007418-T01-IM5	P-0007420-T01-IM5	P-0007493-T02-IM5	P-0007582-T01-IM5	P-0007583-T01-IM5	P-0007597-T01-IM5	P-0007619-T01-IM5	P-0007633-T01-IM5	P-0007757-T02-IM5	P-0007861-T01-IM5	P-0007879-T01-IM5	P-0007977-T01-IM5	P-0007978-T01-IM5	P-0008176-T01-IM5	P-0008239-T01-IM5	P-0008295-T01-IM5	P-0008322-T01-IM5	P-0008370-T01-IM5	P-0008406-T01-IM5	P-0008442-T02-IM5	P-0008715-T01-IM5	P-0008786-T01-IM5	P-0008848-T01-IM5	P-0008851-T01-IM5	P-0008935-T01-IM5	P-0008944-T01-IM5	P-0008976-T01-IM5	P-0009080-T01-IM5	P-0009202-T01-IM5	P-0009256-T01-IM5	P-0009274-T01-IM5	P-0009293-T01-IM5	P-0009319-T01-IM5	P-0009379-T01-IM5	P-0009419-T01-IM5	P-0009426-T01-IM5	P-0009469-T01-IM5	P-0009473-T01-IM5	P-0009501-T01-IM5	P-0009505-T01-IM5	P-0009521-T01-IM5	P-0009586-T01-IM5	P-0009655-T01-IM5	P-0009680-T01-IM5	P-0009763-T01-IM5	P-0009764-T01-IM5	P-0009833-T01-IM5	P-0009959-T01-IM5	P-0010024-T01-IM5	P-0010025-T01-IM5	P-0010065-T01-IM5	P-0010213-T01-IM5	P-0010256-T01-IM5	P-0010636-T01-IM5	P-0010648-T01-IM5	P-0010715-T01-IM5	P-0010736-T01-IM5	P-0010760-T01-IM5	P-0010840-T02-IM5	P-0010891-T01-IM5	P-0010986-T01-IM5	P-0011033-T01-IM5	P-0011036-T01-IM5	P-0011149-T01-IM5	P-0011180-T01-IM5	P-0011192-T01-IM5	P-0011244-T01-IM5	P-0011254-T01-IM5	P-0011499-T01-IM5	P-0011541-T01-IM5	P-0011559-T01-IM5	P-0012076-T01-IM5	P-0012192-T02-IM5	P-0012373-T01-IM5	P-0012427-T01-IM5	P-0012629-T01-IM5	P-0012729-T01-IM5	P-0012817-T01-IM5	P-0012846-T01-IM5	P-0012849-T01-IM5	P-0012866-T01-IM5	P-0012908-T01-IM5	P-0012931-T01-IM5	P-0013653-T01-IM5	P-0014172-T01-IM5	P-0014269-T01-IM6	P-0014451-T01-IM6	P-0014529-T01-IM6	P-0014599-T01-IM6	P-0014786-T01-IM6	P-0014818-T01-IM6	P-0015078-T01-IM6	P-0015296-T01-IM6	P-0015531-T01-IM6	P-0015556-T01-IM6	P-0015758-T01-IM6	P-0015771-T01-IM6	P-0015780-T01-IM6	P-0015785-T01-IM6	P-0015984-T01-IM6	P-0016033-T01-IM6	P-0016046-T01-IM6	P-0016646-T01-IM6	P-0016809-T01-IM6	
Amplification Peak  1	1p34.1  	chr1:45799181-51436104(probes 584:615)        	chr1:46740301-51434460(probes 613:614)        	chr1:45805910-51439753(probes 585:617)        	0.011245	   0.011245		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Amplification Peak  2	1q21.3  	chr1:120611985-155870293(probes 1168:1174)  	chr1:150551664-152330944(probes 1173:1173)  	chr1:120529645-169052789(probes 1167:1348)  	1.3648e-24	 1.3648e-24		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2	1	0	0	1	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	1	0	2	0	1	2	1	2	1	0	1	0	1	1	1	2	0	2	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	2	1	2	0	0	0	0	1	0	1	2	2	0	0	2	1	1	2	0	0	0	2	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	2	2	0	0	0	2	0	0	0	2	0	1	0	0	2	1	0	0	2	0	1	1	1	0	2	2	2	1	0	0	1	0	1	1	2	2	0	0	0	1	2	0	2	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	0	0	2	0	1	1	0	0	1	0	1	0	0	0	0	
Amplification Peak  3	2p16.1  	chr2:58496277-61710158(probes 3840:3847)      	chr2:61108982-61706027(probes 3842:3846)      	chr2:60170876-61720285(probes 3841:3849)      	0.022633	   0.022633		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	
Amplification Peak  4	2q31.2  	chr2:170845414-193562207(probes 5954:6163)  	chr2:178129283-183485157(probes 5958:6037)  	chr2:173914776-189561528(probes 5955:6041)  	0.015308	   0.015308		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	
Amplification Peak  5	3p21.31 	chr3:47205380-52436653(probes 8147:8153)      	chr3:48515080-52436370(probes 8148:8152)      	chr3:48515080-52437233(probes 8148:8155)      	0.047214	   0.047214		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  6	3q26.33 	chr3:181428062-182665073(probes 8911:8914)  	chr3:181430627-182662921(probes 8912:8913)  	chr3:164564580-189368802(probes 8895:8957)  	7.1666e-12	 7.1666e-12		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0	1	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	2	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	1	0	0	2	1	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	
Amplification Peak  7	4p16.3  	chr4:1-12321668(probes 9388:9432)               	chr4:1-1808915(probes 9388:9430)                	chr4:1-21650367(probes 9388:9434)              	0.0035931	  0.0035931		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	
Amplification Peak  8	4q12    	chr4:46047407-54274662(probes 9611:9619)      	chr4:48356334-54256741(probes 9612:9616)      	chr4:48356334-66198529(probes 9612:9691)      	3.0924e-05	 3.0924e-05		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
Amplification Peak  9	5p15.33 	chr5:254566-1295240(probes 11373:11381)          	chr5:1254553-1294994(probes 11376:11380)        	chr5:1-4109108(probes 11365:11385)               	4.3665e-09	 4.3665e-09		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	2	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	1	2	0	0	1	1	1	0	1	0	0	0	2	2	0	1	0	1	2	0	1	2	1	1	0	0	0	0	2	0	0	0	2	0	0	1	0	2	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	1	2	1	1	1	1	2	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	2	0	0	1	0	0	0	0	0	0	1	2	0	0	1	2	1	0	0	0	0	2	1	1	1	1	2	0	0	0	0	1	1	0	0	0	2	0	0	1	0	2	0	0	0	0	1	1	2	1	0	2	0	1	0	0	0	2	1	1	0	0	0	1	1	0	0	1	0	0	1	0	2	0	2	0	2	2	0	0	0	0	2	0	0	1	2	0	1	0	2	0	0	0	2	0	0	0	1	1	2	0	0	1	0	0	0	2	0	1	1	0	1	1	1	0	0	0	1	2	2	0	0	0	0	
Amplification Peak 10	5q35.1  	chr5:170817096-173763355(probes 13567:13572)	chr5:170818758-170837549(probes 13568:13570)	chr5:161322890-180915260(probes 13564:13684)	2.9708e-05	 2.9708e-05		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	
