cytoband	19q12	8q24.3	3q26.2	10q26.13	5q31.3	7q34	6p21.33	20q13.33	1q21.2	19q13.2	19p13.11	12p13.33	11q14.1	5p15.33	15q13.2	2q11.2	14q11.2	1p36.33	13q33.1	15q26.3	14q32.33	8p11.21	2q14.1	12q12	4p16.3	17q25.3	20p13	12p11.23	2p25.1	2q31.2	1p34.2	17p11.2	
q value	4.6825e-38	7.2182e-19	2.1905e-13	1.1511e-10	2.5497e-10	1.0009e-09	4.2786e-09	3.1047e-06	4.7714e-05	4.0894e-11	0.00012296	2.7071e-05	0.00084924	0.0013203	6.2265e-05	0.00032933	0.0025173	0.0022427	0.015471	0.012868	0.0050193	0.03615	0.0070563	0.081827	0.11264	0.1163	0.12254	0.04275	0.20258	0.10225	0.061392	0.24857	
residual q value	1.6643e-33	7.2182e-19	2.1905e-13	1.1511e-10	2.5497e-10	1.0009e-09	4.2786e-09	3.1047e-06	4.7714e-05	9.1828e-05	0.00012296	0.00020126	0.00084924	0.0013203	0.0025173	0.0027665	0.0066287	0.013312	0.015471	0.033488	0.034087	0.03615	0.037212	0.081827	0.11264	0.1163	0.12254	0.18149	0.20258	0.22164	0.24166	0.24857	
wide peak boundaries	chr19:29715101-29921478	chr8:143838001-143958499	chr3:168085901-170384699	chr10:122580597-122597295	chr5:140841615-140863399	chr7:142065912-142095480	chr6:31995701-32008799	chr20:63752701-64444167	chr1:150355807-150936391	chr19:40826928-40876701	chr19:16081931-16807699	chr12:1-1575399	chr11:75467801-79998823	chr5:1-1344499	chr15:30145301-30419487	chr2:97191101-97245699	chr14:19674651-21211799	chr1:1087301-1457099	chr13:102732601-102748199	chr15:101748001-101764687	chr14:105901401-105919385	chr8:42874001-46614499	chr2:113199245-113406699	chr12:45064701-46197139	chr4:214981-2273999	chr17:79423678-83257441	chr20:1-427499	chr12:23950901-30378732	chr2:8029051-10610999	chr2:177514643-177817927	chr1:41575701-43542632	chr17:16780868-16932638	
genes in wide peak	CCNE1	PLEC	MECOM	DMBT1	PCDHA9	MGAM	C4A	hsa-mir-941-3	ARNT	CYP2A6	RAB8A	NINJ2	CAPN5	SDHA	DKFZP434L187	ANKRD36	hsa-mir-1201	DVL1	CCDC168	[LOC100128108]	FAM30A	FNTA	PAX8	SCAF11	ATP5I	ACTG1	SOX12	BCAT1	HPCAL1	AGPS	CDC20	USP32P1	
	C19orf12	EPPK1	PRKCI		PCDHA10		C4B	NPBWR2	CTSK	CYP2A7	TPM4	RAD52	SERPINH1	SLC9A3	CHRFAM7A		ANG	SCNN1D				RNF170	PSD4	PLEKHA8P1	CTBP1	ARHGDIA	RBCK1	ITPR2	ID2	PDE11A	GUCA2A	KRT16P2	
		NRBP2	SKIL		PCDHA8		CYP21A1P	MYT1	CTSS		AP1M1	KDM5A	CLNS1A	TERT	GOLGA8T		APEX1	TNFRSF4				POMK	PAX8-AS1	SLC38A1	DGKQ	CD7	TRIB3	KRAS	ODC1	TTC30A	GUCA2B	FAM106CP	
		MIR661	TERC		PCDHA7		TNXA	OPRL1	ECM1		MED26	SLC6A12	LRRC32	TRIP13	GOLGA8R		HNRNPC	TNFRSF18				HOOK3		RACGAP1P	FGFR3	CSNK1D	NRSN2	LRMP	RRM2	TTC30B	MPL		
			SEC62		PCDHA6		TNXB	TCEA2	ENSA		KLF2	SLC6A13	MAP6	PDCD6			PNP	SDF4				HGSNAT		ANO6	GAK	SLC25A10	DEFB126	PTHLH	ADAM17	LOC105373764	YBX1		
			GPR160		PCDHA5			TPD52L2	MCL1		CHERP	ERC1	MYO7A	SLC12A7			RNASE1	MXRA8				POTEA		ARID2	IDUA	FASN	ZCCHC3	SOX5	KLF11		PTPRF		
			GOLIM4		PCDHA4			RGS19	SETDB1		FAM32A	WNK1	NDUFC2	TPPP			RNASE2	CPSF3L				MIR4469		LINC00938	LETM1	GAA	C20orf96	SSPN	ASAP2		SLC2A1		
