Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	X1032	X103	X1040	X106	X1364	X1552	X1634	X1677	X1718	X2176	X2556	X2577	X2587	X429	X655	X860	X991	
Deletion Peak  1	1p36.13 	chr1:15833568-152032799(probes 1641:12090)     	chr1:16551101-16624299(probes 1757:1778)        	chr1:16550801-16630799(probes 1756:1783)        	0.059741	   0.059741		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	
Deletion Peak  2	3p22.2  	chr3:1-52406199(probes 40079:44819)               	chr3:35206766-39143599(probes 42752:43102)      	chr3:35216701-39332199(probes 42753:43113)      	0.15257	    0.15257		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	
Deletion Peak  3	5q13.2  	chr5:70109801-70510199(probes 70399:70402)      	chr5:70109801-70510199(probes 70399:70402)      	chr5:69579901-71206699(probes 70346:70417)      	2.1132e-06	 2.1132e-06		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	
Deletion Peak  4	6q27    	chr6:166166701-166382992(probes 90223:90232)  	chr6:166166901-166382992(probes 90224:90232)  	chr6:166307319-166326100(probes 90226:90227)  	0.025141	   0.025262		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	
Deletion Peak  5	7p22.1  	chr7:6731701-7072949(probes 91387:91421)          	chr7:6773601-6835699(probes 91395:91405)          	chr7:6781401-6880199(probes 91396:91409)          	0.0091779	  0.0091779		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	
Deletion Peak  6	7q34    	chr7:141945504-142130934(probes 101789:101856)	chr7:141946101-142130934(probes 101790:101856)	chr7:142059486-142066899(probes 101824:101825)	0.084833	   0.084833		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Deletion Peak  7	8p23.1  	chr8:12129401-12381449(probes 104336:104342)    	chr8:12132501-12381449(probes 104337:104342)    	chr8:12133001-12703499(probes 104338:104350)    	0.00038071	 0.00038071		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	
Deletion Peak  8	9q33.3  	chr9:126833201-127034599(probes 121017:121023)	chr9:126833617-127034599(probes 121018:121023)	chr9:126833617-127049930(probes 121018:121025)	0.19858	    0.19858		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	
Deletion Peak  9	10q22.1 	chr10:68267468-110853959(probes 128352:132306)	chr10:72258201-72336699(probes 128808:128810)  	chr10:72213201-72341199(probes 128803:128812)  	0.15296	    0.15296		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 10	13q11   	chr13:1-18819299(probes 158197:158230)         	chr13:18183226-18233899(probes 158199:158205)  	chr13:1-18468799(probes 158197:158224)         	0.17315	    0.17228		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	
Deletion Peak 11	14q24.1 	chr14:1-90475452(probes 164329:169833)         	chr14:64775301-71581049(probes 168125:168703)  	chr14:57288801-71982266(probes 167311:168731)  	0.084833	   0.084833		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
Deletion Peak 12	15q24.3 	chr15:76942251-77052599(probes 177172:177192)  	chr15:76979701-77052599(probes 177177:177192)  	chr15:77018301-77114999(probes 177184:177197)  	0.064667	   0.064667		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	
Deletion Peak 13	16p13.3 	chr16:3646461-4192299(probes 180201:180251)      	chr16:3850401-3974019(probes 180233:180234)      	chr16:3691101-3990659(probes 180209:180236)      	0.091032	   0.091032		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	
Deletion Peak 14	16q22.1 	chr16:70036504-70220821(probes 186152:186178)  	chr16:70156501-70212236(probes 186176:186177)  	chr16:70129001-70221237(probes 186157:186179)  	0.11144	    0.11144		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	
Deletion Peak 15	16q24.1 	chr16:84872493-85099399(probes 187347:187366)  	chr16:84988901-85082502(probes 187357:187364)  	chr16:84981821-85086499(probes 187355:187365)  	0.09746	    0.09746		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	
Deletion Peak 16	17p11.2 	chr17:18400920-18636623(probes 190450:190469)  	chr17:18494398-18594699(probes 190464:190465)  	chr17:18441901-18625309(probes 190454:190467)  	0.10387	      0.104		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	
